Usuario             ;Rodada ;Jogo ;Mandante ;Visitante
alencar             ;    26;   01;    02;        01   
alencar             ;    26;   02;    02;        00   
alencar             ;    26;   03;    01;        02   
alencar             ;    26;   04;    01;        02   
alencar             ;    26;   05;    02;        01   
alencar             ;    26;   06;    02;        01   
alencar             ;    26;   07;    03;        01   
alencar             ;    26;   08;    02;        00   
alencar             ;    26;   09;    01;        01   
alencar             ;    26;   10;    02;        01   
alex                ;    26;   01;    00;        00   
alex                ;    26;   02;    00;        00   
alex                ;    26;   03;    00;        00   
alex                ;    26;   04;    00;        00   
alex                ;    26;   05;    00;        00   
alex                ;    26;   06;    00;        00   
alex                ;    26;   07;    00;        00   
alex                ;    26;   08;    00;        00   
alex                ;    26;   09;    00;        00   
alex                ;    26;   10;    00;        00   
Angelo              ;    26;   01;    02;        01   
Angelo              ;    26;   02;    02;        01   
Angelo              ;    26;   03;    01;        01   
Angelo              ;    26;   04;    02;        00   
Angelo              ;    26;   05;    02;        01   
Angelo              ;    26;   06;    01;        01   
Angelo              ;    26;   07;    02;        00   
Angelo              ;    26;   08;    01;        01   
Angelo              ;    26;   09;    01;        01   
Angelo              ;    26;   10;    02;        01   
Armandinho          ;    26;   01;    00;        00   
Armandinho          ;    26;   02;    00;        00   
Armandinho          ;    26;   03;    00;        00   
Armandinho          ;    26;   04;    00;        00   
Armandinho          ;    26;   05;    00;        00   
Armandinho          ;    26;   06;    00;        00   
Armandinho          ;    26;   07;    00;        00   
Armandinho          ;    26;   08;    00;        00   
Armandinho          ;    26;   09;    00;        00   
Armandinho          ;    26;   10;    00;        00   
Baracat             ;    26;   01;    02;        01   
Baracat             ;    26;   02;    02;        01   
Baracat             ;    26;   03;    01;        02   
Baracat             ;    26;   04;    02;        00   
Baracat             ;    26;   05;    03;        01   
Baracat             ;    26;   06;    01;        01   
Baracat             ;    26;   07;    02;        00   
Baracat             ;    26;   08;    01;        01   
Baracat             ;    26;   09;    02;        01   
Baracat             ;    26;   10;    02;        01   
barauna             ;    26;   01;    02;        01   
barauna             ;    26;   02;    02;        01   
barauna             ;    26;   03;    01;        02   
barauna             ;    26;   04;    01;        00   
barauna             ;    26;   05;    03;        01   
barauna             ;    26;   06;    02;        01   
barauna             ;    26;   07;    03;        00   
barauna             ;    26;   08;    01;        02   
barauna             ;    26;   09;    01;        00   
barauna             ;    26;   10;    02;        00   
billy               ;    26;   01;    02;        00   
billy               ;    26;   02;    02;        01   
billy               ;    26;   03;    01;        02   
billy               ;    26;   04;    02;        00   
billy               ;    26;   05;    02;        01   
billy               ;    26;   06;    03;        01   
billy               ;    26;   07;    04;        00   
billy               ;    26;   08;    01;        02   
billy               ;    26;   09;    02;        00   
billy               ;    26;   10;    01;        02   
Calil               ;    26;   01;    00;        00   
Calil               ;    26;   02;    00;        00   
Calil               ;    26;   03;    00;        00   
Calil               ;    26;   04;    00;        00   
Calil               ;    26;   05;    00;        00   
Calil               ;    26;   06;    00;        00   
Calil               ;    26;   07;    00;        00   
Calil               ;    26;   08;    00;        00   
Calil               ;    26;   09;    00;        00   
Calil               ;    26;   10;    00;        00   
caschroeder         ;    26;   01;    02;        01   
caschroeder         ;    26;   02;    02;        01   
caschroeder         ;    26;   03;    01;        02   
caschroeder         ;    26;   04;    02;        01   
caschroeder         ;    26;   05;    02;        01   
caschroeder         ;    26;   06;    02;        01   
caschroeder         ;    26;   07;    02;        00   
caschroeder         ;    26;   08;    01;        02   
caschroeder         ;    26;   09;    02;        01   
